,name,rating,reviews,type,hq,old,employees
3711,Eye-Q Super Speciality E...,4.2,72 Reviews,Gurugram + 18 more,13 years old,501-1000 employees,
3712,Lyrus Life Science,3.6,72 Reviews,Private,Bengaluru,5 years old,201-500 employees
3713,BDO India LLP,3.5,72 Reviews,New Delhi + 8 more,47 years old,1001-5000 employees,
3714,Enercon,4.4,71 Reviews,Private,Aurich + 16 more,36 years old,10000+ employees
3715,IVY Comptech,3.9,71 Reviews,Private,Hyderabad,19 years old,1001-5000 employees
3716,Applied Materials,4.0,71 Reviews,Private,Santa Clara + 3 more,53 years old,10000+ employees
3717,ICAI,4.0,71 Reviews,Private,New Delhi + 20 more,71 years old,501-1000 employees
3718,Sqs Bfsi,3.7,71 Reviews,Private,Cologne + 4 more,16 years old,10000+ employees
3719,Test Yantra Software Sol...,3.2,71 Reviews,Public,Bengaluru + 2 more,13 years old,1001-5000 employees
3720,Syntel International,3.8,71 Reviews,Mumbai + 4 more,10000+ employees,,
3721,Development Consultants,3.8,71 Reviews,Private,Kolkata + 4 more,70 years old,501-1000 employees
3722,S.S. Kothari Mehta & Co,3.8,71 Reviews,Private,New Delhi + 4 more,67 years old,201-500 employees
3723,British Airways,3.7,71 Reviews,Private,Harmondsworth + 5 more,101 years old,10000+ employees
3724,Onkar Infotech,3.0,71 Reviews,Private,Gurugram + 1 more,20 years old,201-500 employees
3725,SECON Private Limited Ba...,3.9,71 Reviews,Private,Bangalore + 7 more,39 years old,1001-5000 employees
3726,Foray Software,3.7,71 Reviews,Private,Hyderabad + 4 more,9 years old,1001-5000 employees
3727,TATWA Technologies,3.9,71 Reviews,Private,Bhubaneswar + 5 more,18 years old,1001-5000 employees
3728,Pacific India,3.6,71 Reviews,Private,New Delhi + 16 more,24 years old,1001-5000 employees
3729,Fortune Marketing,3.5,71 Reviews,Private,New Delhi + 11 more,26 years old,201-500 employees
3730,Mutual Industries,3.8,71 Reviews,Mumbai + 9 more,41 years old,501-1000 employees,
3731,Terex,4.1,71 Reviews,Private,Westport + 12 more,34 years old,10000+ employees
3732,MyCar,4.1,71 Reviews,Private,Pune + 13 more,15 years old,1001-5000 employees
3733,Mafatlal Industries,4.2,71 Reviews,Public,Mumbai + 8 more,115 years old,1001-5000 employees
3734,Gufic Biosciences,3.8,71 Reviews,Public,Mumbai + 13 more,50 years old,501-1000 employees
3735,Magma Housing Finance,4.0,71 Reviews,Kolkata + 30 more,31 years old,5001-10000 employees,
3736,Kapil Chit Funds,3.7,71 Reviews,Private,Hyderabad + 22 more,39 years old,10000+ employees
3737,Sarvodaya Hospital And R...,4.2,71 Reviews,Faridabad + 5 more,29 years old,501-1000 employees,
3738,Mylan Pharmaceuticals,3.8,71 Reviews,Private,Canonsburg + 16 more,59 years old,10000+ employees
3739,Essae Digitronics,4.1,71 Reviews,Private,Bengaluru + 15 more,24 years old,1001-5000 employees
3740,Oriental Aromatics,3.6,71 Reviews,Public,Mumbai + 3 more,65 years old,
3741,Sadhu Forging,4.1,71 Reviews,Private,Faridabad + 3 more,44 years old,1001-5000 employees
3742,SKS Ispat & Power,3.7,71 Reviews,Private,Mumbai + 3 more,20 years old,201-500 employees
3743,Prothious Engineering Se...,3.9,71 Reviews,Private,Mumbai + 5 more,15 years old,1001-5000 employees
3744,Sutures India,4.2,71 Reviews,Private,Bengaluru + 16 more,28 years old,1001-5000 employees
3745,Raksha TPA,3.5,71 Reviews,Faridabad + 12 more,18 years old,501-1000 employees,
3746,Nexteer Automotive,4.1,71 Reviews,Private,Auburn Hills + 3 more,114 years old,10000+ employees
3747,Quest Diagnostics,4.5,71 Reviews,Private,Secaucus + 9 more,53 years old,10000+ employees
3748,HLE Engineers,3.7,71 Reviews,Private,Navsari + 5 more,39 years old,501-1000 employees
3749,Greentech Industries,4.0,71 Reviews,Nellore + 1 more,12 years old,1001-5000 employees,
3750,The Indian Hume Pipe Co.,4.3,71 Reviews,Public,Mumbai + 16 more,94 years old,1001-5000 employees
3751,The Hershey Company,4.2,71 Reviews,Private,Hershey + 16 more,126 years old,10000+ employees
3752,Groz Engineering Tools,4.0,71 Reviews,Private,Gurugram + 11 more,44 years old,1001-5000 employees
3753,Mohani Tea Leaves,3.7,71 Reviews,Private,Noida + 13 more,27 years old,501-1000 employees
3754,Sparsh Hospital,4.1,71 Reviews,Private,Bangalore + 7 more,14 years old,1001-5000 employees
3755,Amrutanjan Health Care,4.0,71 Reviews,Public,Chennai + 17 more,127 years old,501-1000 employees
3756,Geno Pharmaceuticals,3.3,71 Reviews,Goa + 21 more,45 years old,1001-5000 employees,
3757,Reliance Footprint,4.1,71 Reviews,Mumbai + 30 more,13 years old,10000+ employees,
3758,Gujarat Co Operative Mil...,4.4,71 Reviews,Anand + 29 more,74 years old,,
3759,Central Tool Room & Trai...,4.3,71 Reviews,Private,Bhubaneswar + 5 more,29 years old,51-200 employees
3760,Cape East,3.8,71 Reviews,Navi Mumbai + 5 more,10000+ employees,,
3761,Makino Auto Industries,3.9,71 Reviews,Private,Tokyo + 4 more,30 years old,501-1000 employees
3762,International Automotive...,3.8,71 Reviews,Private,"Southfield,MI + 5 more",14 years old,10000+ employees
3763,Gautam Solar,3.4,71 Reviews,Private,New Delhi + 5 more,23 years old,501-1000 employees
3764,iMerit,3.6,71 Reviews,Private,Kolkata + 1 more,8 years old,1001-5000 employees
3765,MUNDRA SOLAR TECHNOPARK,4.1,71 Reviews,Ahmedabad + 6 more,5 years old,501-1000 employees,
3766,Tyco International,4.1,70 Reviews,New Jersey + 14 more,60 years old,10000+ employees,
3767,Southern Petrochemical I...,4.3,70 Reviews,Public,Chennai + 5 more,51 years old,501-1000 employees
3768,UnitedHealthcare,3.9,70 Reviews,Minnesota + 8 more,43 years old,10000+ employees,
3769,Innominds Software,3.6,70 Reviews,Private,San Jose + 2 more,22 years old,1001-5000 employees
3770,NetAmbit Infosource & e-...,3.6,70 Reviews,Private,Noida + 10 more,20 years old,1001-5000 employees
3771,Gitanjali Gems,3.4,70 Reviews,Public,Mumbai + 9 more,54 years old,1001-5000 employees
3772,International Travel Hou...,3.9,70 Reviews,Public,Gurugram + 12 more,39 years old,1001-5000 employees
3773,Ninestars Information Te...,3.6,70 Reviews,Private,Bangalore + 7 more,21 years old,1001-5000 employees
3774,Shore Infotech India,2.8,70 Reviews,Private,New York,13 years old,501-1000 employees
3775,Hpcl,4.1,70 Reviews,Public,Mumbai + 20 more,68 years old,10000+ employees
3776,Shriram EPC,3.9,70 Reviews,Public,Chennai + 6 more,20 years old,501-1000 employees
3777,AT&S,3.7,70 Reviews,Private,Leoben + 21 more,33 years old,5001-10000 employees
3778,Envestnet Asset Manageme...,3.8,70 Reviews,Private,Chicago + 1 more,21 years old,1001-5000 employees
3779,Desein,3.4,70 Reviews,Private,New Delhi + 9 more,55 years old,501-1000 employees
3780,Jasper Industries,4.2,70 Reviews,Private,Hyderabad + 4 more,65 years old,1001-5000 employees
3781,Hindware,4.2,70 Reviews,Private,Gurgaon + 18 more,60 years old,10000+ employees
3782,Festo,3.9,70 Reviews,Private,Esslingen + 8 more,95 years old,10000+ employees
3783,Enzen Global Solutions,3.7,70 Reviews,Private,Solihull + 8 more,14 years old,1001-5000 employees
3784,Encube Ethicals,4.0,70 Reviews,Mumbai + 3 more,25 years old,501-1000 employees,
3785,Danske It,2.7,70 Reviews,Bengaluru,8 years old,501-1000 employees,
3786,Aegis Logistics,3.8,70 Reviews,Public,Mumbai + 9 more,64 years old,201-500 employees
3787,ISRO Satellite Center,4.6,70 Reviews,Bengaluru + 3 more,44 years old,10000+ employees,
3788,Bry-Air (Asia),3.9,70 Reviews,Private,Gurugram + 7 more,39 years old,1001-5000 employees
3789,Borosil Glass Works,3.8,70 Reviews,Public,Mumbai + 7 more,58 years old,1001-5000 employees
3790,The Fern Residency,4.2,70 Reviews,Private,Mumbai + 16 more,5001-10000 employees,
3791,YFC PROJECTS,4.1,70 Reviews,Private,Gurugram + 8 more,34 years old,501-1000 employees
3792,The Mission Hospital,4.4,70 Reviews,Private,Durgapur + 10 more,12 years old,1001-5000 employees
3793,Costa Coffee,4.3,70 Reviews,Private,Dunstable + 13 more,49 years old,10000+ employees
3794,Gujarat Alkalies & Chemi...,4.4,70 Reviews,Vadodara + 2 more,47 years old,1001-5000 employees,
3795,Weatherford,4.3,70 Reviews,Private,Houston + 10 more,33 years old,10000+ employees
3796,Tbea Energy,4.0,70 Reviews,Private,Karjan + 7 more,10 years old,501-1000 employees
3797,Cotiviti,3.5,70 Reviews,Private,Atlanta,41 years old,1001-5000 employees
3798,Jaipur Rugs,3.4,70 Reviews,Private,Jaipur + 3 more,42 years old,201-500 employees
3799,Volvo Trucks,4.2,70 Reviews,Private,Gothenburg + 13 more,92 years old,10000+ employees
3800,Mitsubishi Elevators,4.0,70 Reviews,Private,Tokyo + 13 more,89 years old,10000+ employees
3801,TRL Krosaki Refractories,4.0,70 Reviews,Odisha + 7 more,62 years old,1001-5000 employees,
3802,Da Milano Leathers,3.8,70 Reviews,New Delhi + 16 more,31 years old,201-500 employees,
3803,CNS Comnet,3.2,70 Reviews,Private,Gurugram + 2 more,15 years old,5001-10000 employees
3804,Walter Bushnell,3.3,70 Reviews,Private,Gurgaon + 19 more,16 years old,1001-5000 employees
3805,Barmalt Malting,4.0,70 Reviews,Gurgaon + 3 more,53 years old,501-1000 employees,
3806,Bellsonica Auto Componen...,4.2,70 Reviews,Gurgaon + 3 more,1001-5000 employees,,
3807,Harita Fehrer,4.2,70 Reviews,Chennai + 3 more,10 years old,201-500 employees,
3808,Beri Udyog,3.8,70 Reviews,Haryana + 7 more,42 years old,501-1000 employees,
3809,General Energy Managemen...,4.0,70 Reviews,Private,Noida + 23 more,21 years old,201-500 employees
3810,Amcor Flexibles India,4.3,70 Reviews,Private,Zürich + 10 more,156 years old,10000+ employees
3811,AYTB,3.9,70 Reviews,Private,Al Jubail + 4 more,41 years old,5001-10000 employees
3812,Formel D,3.5,70 Reviews,Private,Troisdorf + 9 more,27 years old,10000+ employees
3813,Entab Infotech,3.3,70 Reviews,Private,New Delhi + 6 more,20 years old,201-500 employees
3814,Orcapod Consulting Servi...,2.6,70 Reviews,Private,Mumbai + 9 more,10 years old,501-1000 employees
3815,Emrill Services LLC,4.3,70 Reviews,Dubai + 2 more,18 years old,5001-10000 employees,
3816,Maharashtra Natural GAS,4.3,70 Reviews,Private,Pune + 2 more,14 years old,51-200 employees
3817,Adani Green Energy,4.0,70 Reviews,Private,Ahmedabad + 19 more,5 years old,10000+ employees
3818,IKEA,4.1,70 Reviews,Private,Delft + 7 more,77 years old,10000+ employees
3819,Varthana,4.2,70 Reviews,Private,Bengaluru + 22 more,7 years old,201-500 employees
3820,National Sample Survey O...,4.0,70 Reviews,Ahmedabad + 36 more,201-500 employees,,
3821,Krsnaa Diagnostics,3.6,70 Reviews,Pune + 12 more,10 years old,10000+ employees,
3822,Unimark Remedies,3.2,69 Reviews,Private,Mumbai + 6 more,27 years old,501-1000 employees
3823,Source One Management Se...,3.3,69 Reviews,Private,Bangalore + 5 more,15 years old,501-1000 employees
3824,Caresoft Global,3.4,69 Reviews,Private,Detroit + 6 more,16 years old,1001-5000 employees
3825,University of Delhi,4.0,69 Reviews,Private,Delhi + 3 more,98 years old,
3826,Panoramic Group of Compa...,3.2,69 Reviews,Private,Mumbai + 14 more,23 years old,1001-5000 employees
3827,ICRA,3.4,69 Reviews,Public,Gurugram + 9 more,29 years old,501-1000 employees
3828,WOODLAND,4.1,69 Reviews,Private,Quebec + 29 more,28 years old,5001-10000 employees
3829,Sterling Biotech,4.2,69 Reviews,Public,Mumbai,35 years old,1001-5000 employees
3830,ICICI Direct,4.1,69 Reviews,Private,Mumbai + 30 more,25 years old,501-1000 employees
3831,Sears IT & Management Se...,3.8,69 Reviews,Private,Pune + 1 more,11 years old,1001-5000 employees
3832,Tecumseh Products,4.2,69 Reviews,Private,Michigan + 4 more,86 years old,5001-10000 employees
3833,NTTF,3.9,69 Reviews,Private,Bengaluru + 14 more,57 years old,501-1000 employees
3834,Jumbo Electronics,4.2,69 Reviews,Private,Dubai + 12 more,46 years old,1001-5000 employees
3835,Sany Heavy Industry,3.9,69 Reviews,Private,Beijing + 11 more,31 years old,5001-10000 employees
3836,The Indure,3.7,69 Reviews,Private,New Delhi + 8 more,50 years old,501-1000 employees
3837,Kisan Mouldings,3.8,69 Reviews,Public,Mumbai + 17 more,38 years old,501-1000 employees
3838,Matrix ComSec,3.6,69 Reviews,Private,Vadodara + 3 more,29 years old,1001-5000 employees
3839,NXP Semiconductors,4.0,69 Reviews,Public,Eindhoven + 3 more,14 years old,10000+ employees
3840,TC Global,4.0,69 Reviews,Private,New Delhi + 15 more,25 years old,501-1000 employees
3841,Maral Overseas,4.1,69 Reviews,Public,Noida + 3 more,29 years old,501-1000 employees
3842,Mahatma Gandhi Universit...,3.7,69 Reviews,Private,Kottayam + 22 more,37 years old,1001-5000 employees
3843,Electrical Manufacturing...,4.0,69 Reviews,Private,Kolkata + 27 more,67 years old,1001-5000 employees
3844,KGK Group,3.7,69 Reviews,Private,Kowloon + 7 more,115 years old,10000+ employees
3845,Brigade Enterprises,4.1,69 Reviews,Public,Bangalore + 1 more,34 years old,501-1000 employees
3846,Uttam Value Steels,3.7,69 Reviews,Public,Mumbai + 4 more,46 years old,1001-5000 employees
3847,Dubai Electricity & Wate...,4.2,69 Reviews,Private,Dubai + 1 more,28 years old,10000+ employees
3848,FOCUS EDUMATICS,3.5,69 Reviews,Bangalore,21 years old,501-1000 employees,
3849,Olympus,4.0,69 Reviews,Private,Tokyo + 9 more,101 years old,10000+ employees
3850,Mahyco,4.4,69 Reviews,Private,Jalna + 17 more,56 years old,1001-5000 employees
3851,Holisol Logistics,4.1,69 Reviews,Private,New Delhi + 13 more,11 years old,201-500 employees
3852,Kauvery Hospital,4.0,69 Reviews,Chennai + 5 more,21 years old,5001-10000 employees,
3853,ArcelorMittal,4.0,69 Reviews,Private,Boulevard D’Avranches + 11 more,14 years old,10000+ employees
3854,Meneta Automotive Compon...,3.8,69 Reviews,Private,Sonipat + 4 more,13 years old,501-1000 employees
3855,Nippon Toyota,4.4,69 Reviews,Private,Cochin + 6 more,21 years old,1001-5000 employees
3856,Epson,4.4,69 Reviews,Suwa + 25 more,78 years old,10000+ employees,
3857,Zamil Steel Buildings In...,4.2,69 Reviews,Private,Pune + 9 more,12 years old,501-1000 employees
3858,Genus Electrotech,3.7,69 Reviews,Private,Gandhidham + 5 more,21 years old,501-1000 employees
3859,Ascend Telecom Infrastru...,4.2,69 Reviews,Private,Bengaluru + 18 more,18 years old,501-1000 employees
3860,CPC Diagnostics,4.2,69 Reviews,Private,Chennai + 11 more,33 years old,201-500 employees
3861,Amco Batteries,3.9,69 Reviews,Chennai + 20 more,88 years old,201-500 employees,
3862,L. V. Prasad Eye Institu...,4.6,69 Reviews,Hyderabad + 5 more,33 years old,10000+ employees,
3863,Margadarsi Chit Fund,3.9,69 Reviews,Private,Hyderabad + 13 more,58 years old,1001-5000 employees
3864,Wirtgen India,3.8,69 Reviews,Private,Pune + 13 more,59 years old,5001-10000 employees
3865,Rungta Mines,3.9,69 Reviews,Ramgarh + 4 more,58 years old,201-500 employees,
3866,Digital Nirvana Informat...,4.0,69 Reviews,Private,Fremont,24 years old,501-1000 employees
3867,Dunkin' Donuts,4.1,69 Reviews,Canton + 15 more,70 years old,1001-5000 employees,
3868,Tata Metaliks,3.9,69 Reviews,Public,Kolkata + 3 more,26 years old,1001-5000 employees
3869,Vistaprint,4.3,69 Reviews,Private,Mumbai + 5 more,8 years old,5001-10000 employees
3870,Vesuvius,3.9,69 Reviews,Public,London + 7 more,104 years old,10000+ employees
3871,Jay Autocomponents,4.3,69 Reviews,Private,Gurgaon + 6 more,61 years old,1001-5000 employees
3872,Hbk Contracting Company ...,4.3,69 Reviews,Private,Doha + 4 more,50 years old,5001-10000 employees
3873,Slr Metaliks,4.0,69 Reviews,Private,Karnataka + 3 more,15 years old,501-1000 employees
3874,Perkins,4.3,69 Reviews,Private,Peterborough + 4 more,88 years old,1001-5000 employees
3875,CR Asia,4.2,69 Reviews,Bangkok + 3 more,29 years old,1001-5000 employees,
3876,Barbrik Project,3.7,69 Reviews,Surajpur + 11 more,12 years old,201-500 employees,
3877,Religare Housing Develop...,4.5,69 Reviews,Public,Gurgaon + 25 more,27 years old,201-500 employees
3878,Childline India Foundati...,4.0,69 Reviews,Private,New Delhi + 23 more,24 years old,201-500 employees
3879,Gulf Contracting,3.7,69 Reviews,Private,Doha + 5 more,44 years old,501-1000 employees
3880,Millennium Engineers & C...,4.3,69 Reviews,Private,Pune + 8 more,21 years old,5001-10000 employees
3881,IXAR,3.8,69 Reviews,Private,Mumbai + 5 more,51 years old,501-1000 employees
3882,Alivira Animal Health,3.5,69 Reviews,Mumbai + 5 more,6 years old,1001-5000 employees,
3883,Wheelseye Technology,3.8,69 Reviews,Private,Gurgaon + 34 more,3 years old,1-50 employees
3884,Saksoft,3.3,68 Reviews,Public,Chennai + 6 more,21 years old,1001-5000 employees
3885,Watson Pharma,4.3,68 Reviews,Navi Mumbai + 2 more,1001-5000 employees,,
3886,Capillary Technologies,3.8,68 Reviews,Private,Singapore + 1 more,12 years old,501-1000 employees
3887,High Court Lucknow,4.5,68 Reviews,Hyderabad + 15 more,201-500 employees,,
3888,IQ BackOffice,3.8,68 Reviews,California,18 years old,501-1000 employees,
3889,GlobalStep,2.7,68 Reviews,Private,Dallas + 6 more,13 years old,1001-5000 employees
3890,MSPL,4.1,68 Reviews,Private,Hosapete + 15 more,59 years old,1001-5000 employees
3891,Pravin Electricals,3.9,68 Reviews,Private,Mumbai + 5 more,34 years old,1001-5000 employees
3892,Spectranet,3.8,68 Reviews,Private,Gurugram + 11 more,20 years old,501-1000 employees
3893,Reliable Autotech,4.2,68 Reviews,Nashik + 4 more,36 years old,201-500 employees,
3894,Sangam,4.1,68 Reviews,Public,Mumbai + 4 more,36 years old,10000+ employees
3895,CTR Manufacturing Indust...,3.5,68 Reviews,Public,Pune + 7 more,56 years old,501-1000 employees
3896,NOCIL,4.3,68 Reviews,Public,Mumbai + 6 more,45 years old,5001-10000 employees
3897,Ginni Filaments,3.8,68 Reviews,Public,Noida + 9 more,30 years old,1001-5000 employees
3898,TomTom,3.9,68 Reviews,Public,Amsterdam,29 years old,1001-5000 employees
3899,Impressions Services,4.2,68 Reviews,Private,Gurugram + 7 more,26 years old,10000+ employees
3900,Radnik Exports,4.3,68 Reviews,Private,New Delhi + 3 more,47 years old,1001-5000 employees
3901,AVL,3.9,68 Reviews,Private,Graz + 5 more,72 years old,10000+ employees
3902,National Institute for S...,3.4,68 Reviews,Private,New Delhi + 14 more,18 years old,5001-10000 employees
3903,St. Joseph's School,4.2,68 Reviews,Hyderabad + 19 more,501-1000 employees,,
3904,Tangoe,3.0,68 Reviews,Private,Parsippany,20 years old,1001-5000 employees
3905,Himatsingka Seide,3.8,68 Reviews,Public,Bangalore + 4 more,35 years old,1001-5000 employees
3906,Met Technologies,3.0,68 Reviews,Private,Kolkata + 1 more,10 years old,501-1000 employees
3907,Rithwik Projects,3.5,68 Reviews,Hyderabad + 10 more,21 years old,501-1000 employees,
3908,Lamprell Energy,4.4,68 Reviews,Private,Dubai + 2 more,44 years old,5001-10000 employees
3909,Imedx Information Servic...,3.5,68 Reviews,Atlanta + 3 more,18 years old,1001-5000 employees,
3910,Bajaj Healthcare,4.1,68 Reviews,Public,Mumbai + 5 more,27 years old,501-1000 employees
3911,Jindal Worldwide,3.6,68 Reviews,Public,Ahmedabad + 3 more,34 years old,1001-5000 employees
3912,IDEMIA,3.4,68 Reviews,Private,Courbevoie + 8 more,3 years old,10000+ employees
3913,BPL Medical Technologies,4.0,68 Reviews,Private,Bangalore + 13 more,53 years old,501-1000 employees
3914,Fernandez Hospital,4.2,68 Reviews,Private,Hyderabad,72 years old,1001-5000 employees
3915,Vertiv Energy,4.1,68 Reviews,Private,Columbus + 19 more,4 years old,10000+ employees
3916,Coverfox,3.6,68 Reviews,Private,Mumbai + 4 more,7 years old,501-1000 employees
3917,Dr Mohan's Diabetes Spec...,3.8,68 Reviews,Chennai + 13 more,29 years old,1001-5000 employees,
3918,Cashpor Micro Credit,4.1,68 Reviews,Varanasi + 9 more,18 years old,1001-5000 employees,
3919,Border Roads Organisatio...,4.3,68 Reviews,Public,New Delhi + 10 more,60 years old,5001-10000 employees
3920,Podar Jumbo Kids,4.2,68 Reviews,Private,Mumbai + 18 more,93 years old,5001-10000 employees
3921,MINISO,3.2,68 Reviews,Private,Guangzhou + 11 more,7 years old,10000+ employees
3922,Chanakya IAS Academy,3.7,68 Reviews,Private,New Delhi + 16 more,27 years old,501-1000 employees
3923,AJ Hospital and Research...,4.1,68 Reviews,Private,Mangalore + 4 more,19 years old,501-1000 employees
3924,Livguard Energy Technolo...,4.2,68 Reviews,Private,Gurugram + 22 more,6 years old,1001-5000 employees
3925,Maahi Milk Producer Comp...,4.1,68 Reviews,Rajkot + 8 more,8 years old,501-1000 employees,
3926,Laxmi-Agni Components an...,3.9,68 Reviews,Aurangabad,21 years old,201-500 employees,
3927,Infinity Technology,3.7,68 Reviews,Private,Pune + 24 more,8 years old,51-200 employees
3928,Ibg Fincon Solutions,4.0,68 Reviews,Private,Pune + 3 more,8 years old,501-1000 employees
3929,Hinduja Foundries,4.0,68 Reviews,Chennai + 2 more,61 years old,,
3930,Development Credit Bank,4.4,67 Reviews,Private,Mumbai + 27 more,90 years old,1001-5000 employees
3931,Mahindra Two Wheelers,3.9,67 Reviews,Public,Pune + 23 more,12 years old,1001-5000 employees
3932,Olam Information Service...,4.0,67 Reviews,Singapore,31 years old,201-500 employees,
3933,Aptara New Media,3.3,67 Reviews,Private,Falls Church + 3 more,32 years old,5001-10000 employees
3934,Marksans Pharma,3.1,67 Reviews,Public,Mumbai + 3 more,19 years old,1001-5000 employees
3935,Speridian Technologies,3.6,67 Reviews,Private,Albuquerque + 3 more,17 years old,1001-5000 employees
3936,SGS Group of Companies,3.8,67 Reviews,Private,Geneva + 19 more,142 years old,10000+ employees
3937,Jindal Aluminium,3.5,67 Reviews,Public,Bangalore + 4 more,52 years old,1001-5000 employees
3938,Ramoji Film City,4.0,67 Reviews,Private,Hyderabad + 2 more,24 years old,5001-10000 employees
3939,Netenrich Technologies,3.5,67 Reviews,San Jose + 1 more,16 years old,501-1000 employees,
3940,SEFORGE,3.8,67 Reviews,Private,Coimbatore + 1 more,14 years old,501-1000 employees
3941,Packt Publishing,3.2,67 Reviews,Birmingham + 1 more,16 years old,201-500 employees,
3942,MAN Energy Solutions,3.9,67 Reviews,Private,Augsburg + 4 more,10 years old,
3943,Smc Pneumatics India,4.0,67 Reviews,Private,Noida + 13 more,25 years old,201-500 employees
3944,Kanakia Spaces,3.8,67 Reviews,Private,Mumbai,34 years old,501-1000 employees
3945,Tek Care India,3.4,67 Reviews,Private,Patna + 30 more,501-1000 employees,
3946,Ncc Urban Infrastructure,4.2,67 Reviews,Private,Hyderabad + 10 more,15 years old,501-1000 employees
3947,Deep Industries,3.6,67 Reviews,Public,Ahmedabad + 6 more,29 years old,501-1000 employees
3948,DCM Engineering,4.0,67 Reviews,Private,New Delhi + 1 more,30 years old,1001-5000 employees
3949,Kusum Health Care,4.0,67 Reviews,Private,New Delhi + 3 more,23 years old,1001-5000 employees
3950,Oasis,3.6,67 Reviews,Private,Burlington + 24 more,27 years old,1001-5000 employees
3951,Trident Automobiles,4.6,67 Reviews,Private,Bengaluru + 1 more,22 years old,1001-5000 employees
3952,Xrbia Developers,3.2,67 Reviews,Private,Mumbai + 2 more,16 years old,201-500 employees
3953,Pinkerton,3.8,67 Reviews,Private,Ann Arbor + 8 more,170 years old,1001-5000 employees
3954,KSK Mahanadi Power Compa...,3.6,67 Reviews,Public,Hyderabad,19 years old,501-1000 employees
3955,Scholastic,3.8,67 Reviews,Private,Gurugram + 19 more,23 years old,5001-10000 employees
3956,Tata Ficosa Automotive S...,4.0,67 Reviews,Pune + 8 more,22 years old,10000+ employees,
3957,ABSAS Solutions,2.3,67 Reviews,Private,Noida + 2 more,11 years old,201-500 employees
3958,Sara Suole,4.0,67 Reviews,Private,Bengaluru + 11 more,19 years old,501-1000 employees
3959,Godawari Power & Ispat,3.9,67 Reviews,Public,Raipur + 4 more,21 years old,1001-5000 employees
3960,Anunta Technology Manage...,3.8,67 Reviews,Private,Mumbai + 4 more,8 years old,501-1000 employees
3961,Gtpl Hathway,3.9,67 Reviews,Public,Ahmedabad + 9 more,14 years old,1001-5000 employees
3962,ANAROCK Property Consult...,3.4,67 Reviews,Private,Mumbai + 9 more,9 years old,201-500 employees
3963,Chai Point,3.9,67 Reviews,Private,Bengaluru + 7 more,10 years old,1001-5000 employees
3964,Db Power,4.1,67 Reviews,Bhopal + 2 more,14 years old,501-1000 employees,
3965,Gems Education,3.7,67 Reviews,Dubai + 14 more,61 years old,10000+ employees,
3966,B.L Agro Oils,4.2,67 Reviews,Bareilly + 4 more,27 years old,201-500 employees,
3967,Schreiber Dynamix Dairie...,4.4,67 Reviews,Public,Pune + 3 more,16 years old,1001-5000 employees
3968,Azim Premji Foundation,3.9,67 Reviews,Private,Bengaluru + 12 more,20 years old,1001-5000 employees
3969,Ifb Appliances,3.9,67 Reviews,Public,Kolkata + 28 more,29 years old,1001-5000 employees
3970,Webhelp,3.7,67 Reviews,Paris,20 years old,10000+ employees,
3971,Oncquest Laboratories,4.1,67 Reviews,Private,New Delhi + 11 more,20 years old,1001-5000 employees
3972,Anmol Industries,3.9,67 Reviews,Kolkata + 17 more,26 years old,1001-5000 employees,
3973,HRH Next Services,3.7,67 Reviews,Private,Hyderabad,13 years old,1001-5000 employees
3974,Himalaya Opticals,4.3,67 Reviews,Private,Kolkata + 18 more,85 years old,201-500 employees
3975,TALENTEDGE,3.6,67 Reviews,Private,Gurgaon + 7 more,8 years old,201-500 employees
3976,Basix Sub K Itransaction...,4.3,67 Reviews,Private,Hyderabad + 22 more,10 years old,1001-5000 employees
3977,Strategic Learning Solut...,4.2,67 Reviews,Private,Gurugram + 17 more,24 years old,501-1000 employees
3978,GS Engineering,4.0,67 Reviews,Private,Houghton + 8 more,19 years old,5001-10000 employees
3979,Manhattan Associates,3.7,66 Reviews,Private,Atlanta,30 years old,1001-5000 employees
3980,ANZ Operations & Technol...,4.2,66 Reviews,Melbourne,31 years old,10000+ employees,
3981,RAK BANK,3.8,66 Reviews,Ras Al Khaimah + 4 more,44 years old,1001-5000 employees,
3982,Softtek,3.3,66 Reviews,Private,Monterrey,38 years old,10000+ employees
3983,Kopran,3.8,66 Reviews,Public,Mumbai + 7 more,62 years old,501-1000 employees
3984,Eastern Software Systems,2.7,66 Reviews,Private,Noida + 4 more,30 years old,5001-10000 employees
3985,Cygnet Infotech,3.7,66 Reviews,Private,Ahmedabad + 3 more,20 years old,1001-5000 employees
3986,IB Group,3.8,66 Reviews,Private,Chhattisgrah + 16 more,35 years old,1001-5000 employees
3987,India Pistons,3.7,66 Reviews,Public,Chennai + 3 more,71 years old,1001-5000 employees
3988,JBF Industries,4.1,66 Reviews,Public,Mumbai + 2 more,38 years old,201-500 employees
3989,Kesari Tours,3.7,66 Reviews,Private,Mumbai + 5 more,36 years old,1001-5000 employees
3990,Nahar Group of Companies,4.0,66 Reviews,Ludhiana + 11 more,71 years old,5001-10000 employees,
3991,Roto Power Engineers,4.1,66 Reviews,Private,Noida + 9 more,35 years old,
3992,Sonalika Group of Compan...,4.1,66 Reviews,Private,Hoshiarpur + 17 more,51 years old,10000+ employees
3993,Syncfusion,3.7,66 Reviews,Private,Morrisville,19 years old,501-1000 employees
